VEH, 703.77, 10242.63, 702.40, 10242.36, 702.453, 10242.1, 703.821, 10242.4
VEH, 728.76, 10243.78, 728.06, 10243.16, 728.165, 10243, 728.872, 10243.7
VEH, 2302.47, 10242.00, 2302.45, 10241.84, 2302.78, 10241.8, 2302.8, 10242
VEH, 1574.53, 10240.07, 1573.80, 10238.79, 1574.1, 10238.6, 1574.83, 10239.9
VEH, 1594.42, 10242.55, 1594.32, 10242.31, 1595.89, 10241.7, 1595.99, 10241.9
VEH, 1836.17, 10241.02, 1836.09, 10240.88, 1836.49, 10240.6, 1836.58, 10240.8
VEH, 3908.10, 10244.57, 3907.68, 10244.30, 3907.81, 10244.1, 3908.23, 10244.4
VEH, 4023.82, 10242.26, 4022.59, 10241.73, 4022.9, 10241, 4024.14, 10241.5
VEH, 4026.66, 10243.00, 4026.30, 10242.91, 4026.34, 10242.8, 4026.7, 10242.8
VEH, 3611.79, 10242.04, 3610.63, 10241.64, 3610.68, 10241.5, 3611.84, 10241.9
VEH, 3007.63, 10240.76, 3006.43, 10240.29, 3006.51, 10240.1, 3007.7, 10240.6
TRN, 4030.16, 10244.52, 4029.87, 10244.21, 4030.76, 10243.4, 4031.05, 10243.7
VEH, 5657.88, 10244.89, 5657.88, 10244.59, 5658.32, 10244.6, 5658.32, 10244.9
VEH, 5566.30, 10240.53, 5566.05, 10240.14, 5567.13, 10239.5, 5567.38, 10239.9
VEH, 5585.87, 10239.73, 5585.77, 10239.37, 5586.03, 10239.3, 5586.13, 10239.7
VEH, 5581.28, 10239.88, 5581.20, 10239.45, 5581.45, 10239.4, 5581.54, 10239.8
VEH, 5665.59, 10240.87, 5665.41, 10240.61, 5665.59, 10240.5, 5665.77, 10240.7
VEH, 5494.80, 10244.82, 5494.75, 10244.05, 5495, 10244, 5495.05, 10244.8
VEH, 5263.39, 10240.07, 5263.22, 10239.87, 5263.3, 10239.8, 5263.47, 10240
VEH, 5358.94, 10239.14, 5358.74, 10239.06, 5358.89, 10238.7, 5359.09, 10238.8
VEH, 5547.41, 10242.22, 5547.38, 10241.88, 5548.35, 10241.8, 5548.37, 10242.1
VEH, 5554.32, 10239.18, 5554.25, 10238.65, 5554.54, 10238.6, 5554.61, 10239.1
VEH, 5561.74, 10240.05, 5561.01, 10239.47, 5561.36, 10239, 5562.1, 10239.6
VEH, 5496.44, 10242.87, 5494.23, 10242.20, 5494.55, 10241.1, 5496.77, 10241.8
VEH, 5550.73, 10240.14, 5550.11, 10239.86, 5550.29, 10239.4, 5550.91, 10239.7
VEH, 5664.55, 10242.54, 5664.24, 10242.37, 5664.44, 10242, 5664.75, 10242.2
VEH, 6563.70, 10242.41, 6563.50, 10241.01, 6567.96, 10240.4, 6568.16, 10241.8
VEH, 1842.75, 5220.13, 1842.54, 5219.94, 1842.91, 5219.55, 1843.11, 5219.73
VEH, 1519.67, 5416.36, 1518.56, 5416.13, 1518.6, 5415.92, 1519.72, 5416.16
